,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Boarded,predicted_survival
591,1.0,1,female,52.0,1,0,78.2667,Cherbourg,1
592,0.0,3,male,47.0,0,0,7.25,Southampton,0
594,0.0,2,male,37.0,1,0,26.0,Southampton,0
595,0.0,3,male,36.0,1,1,24.15,Southampton,0
597,0.0,3,male,49.0,0,0,0.0,Southampton,0
599,1.0,1,male,49.0,1,0,56.9292,Cherbourg,0
600,1.0,2,female,24.0,2,1,27.0,Southampton,1
603,0.0,3,male,44.0,0,0,8.05,Southampton,0
604,1.0,1,male,35.0,0,0,26.55,Southampton,0
605,0.0,3,male,36.0,1,0,15.55,Southampton,0
606,0.0,3,male,30.0,0,0,7.8958,Southampton,0
607,1.0,1,male,27.0,0,0,30.5,Southampton,1
608,1.0,2,female,22.0,1,2,41.5792,Cherbourg,1
609,1.0,1,female,40.0,0,0,153.4625,Southampton,1
610,0.0,3,female,39.0,1,5,31.275,Southampton,0
614,0.0,3,male,35.0,0,0,8.05,Southampton,0
615,1.0,2,female,24.0,1,2,65.0,Southampton,1
616,0.0,3,male,34.0,1,1,14.4,Southampton,0
617,0.0,3,female,26.0,1,0,16.1,Southampton,1
618,1.0,2,female,4.0,2,1,39.0,Southampton,1
619,0.0,2,male,26.0,0,0,10.5,Southampton,0
620,0.0,3,male,27.0,1,0,14.4542,Cherbourg,0
621,1.0,1,male,42.0,1,0,52.5542,Southampton,0
622,1.0,3,male,20.0,1,1,15.7417,Cherbourg,0
623,0.0,3,male,21.0,0,0,7.8542,Southampton,0
624,0.0,3,male,21.0,0,0,16.1,Southampton,0
625,0.0,1,male,61.0,0,0,32.3208,Southampton,0
626,0.0,2,male,57.0,0,0,12.35,Queenstown,0
627,1.0,1,female,21.0,0,0,77.9583,Cherbourg,1
628,0.0,3,male,26.0,0,0,7.8958,Southampton,0
630,1.0,1,male,80.0,0,0,30.0,Southampton,0
631,0.0,3,male,51.0,0,0,7.0542,Southampton,0
632,1.0,1,male,32.0,0,0,30.5,Southampton,1
634,0.0,3,female,9.0,3,2,27.9,Southampton,1
635,1.0,2,female,28.0,0,0,13.0,Southampton,1
636,0.0,3,male,32.0,0,0,7.925,Southampton,0
637,0.0,2,male,31.0,1,1,26.25,Southampton,0
638,0.0,3,female,41.0,0,5,39.6875,Southampton,0
640,0.0,3,male,20.0,0,0,7.8542,Southampton,0
641,1.0,1,female,24.0,0,0,69.3,Cherbourg,1
642,0.0,3,female,2.0,3,2,27.9,Southampton,1
644,1.0,3,female,0.75,2,1,19.2583,Cherbourg,1
645,1.0,1,male,48.0,1,0,76.7292,Cherbourg,0
646,0.0,3,male,19.0,0,0,7.8958,Southampton,0
647,1.0,1,male,56.0,0,0,35.5,Southampton,0
649,1.0,3,female,23.0,0,0,7.55,Southampton,1
651,1.0,2,female,18.0,0,1,23.0,Southampton,1
652,0.0,3,male,21.0,0,0,8.4333,Southampton,0
654,0.0,3,female,18.0,0,0,6.75,Queenstown,1
655,0.0,2,male,24.0,2,0,73.5,Southampton,0
657,0.0,3,female,32.0,1,1,15.5,Queenstown,0
658,0.0,2,male,23.0,0,0,13.0,Southampton,0
659,0.0,1,male,58.0,0,2,113.275,Cherbourg,0
660,1.0,1,male,50.0,2,0,133.65,Southampton,0
661,0.0,3,male,40.0,0,0,7.225,Cherbourg,0
662,0.0,1,male,47.0,0,0,25.5875,Southampton,0
663,0.0,3,male,36.0,0,0,7.4958,Southampton,0
664,1.0,3,male,20.0,1,0,7.925,Southampton,0
665,0.0,2,male,32.0,2,0,73.5,Southampton,0
666,0.0,2,male,25.0,0,0,13.0,Southampton,0
668,0.0,3,male,43.0,0,0,8.05,Southampton,0
670,1.0,2,female,40.0,1,1,39.0,Southampton,1
671,0.0,1,male,31.0,1,0,52.0,Southampton,0
672,0.0,2,male,70.0,0,0,10.5,Southampton,0
673,1.0,2,male,31.0,0,0,13.0,Southampton,0
675,0.0,3,male,18.0,0,0,7.775,Southampton,0
676,0.0,3,male,24.5,0,0,8.05,Southampton,0
677,1.0,3,female,18.0,0,0,9.8417,Southampton,1
678,0.0,3,female,43.0,1,6,46.9,Southampton,0
679,1.0,1,male,36.0,0,1,512.3292,Cherbourg,1
681,1.0,1,male,27.0,0,0,76.7292,Cherbourg,1
682,0.0,3,male,20.0,0,0,9.225,Southampton,0
683,0.0,3,male,14.0,5,2,46.9,Southampton,0
684,0.0,2,male,60.0,1,1,39.0,Southampton,0
685,0.0,2,male,25.0,1,2,41.5792,Cherbourg,0
686,0.0,3,male,14.0,4,1,39.6875,Southampton,0
687,0.0,3,male,19.0,0,0,10.1708,Southampton,0
688,0.0,3,male,18.0,0,0,7.7958,Southampton,0
689,1.0,1,female,15.0,0,1,211.3375,Southampton,1
690,1.0,1,male,31.0,1,0,57.0,Southampton,0
691,1.0,3,female,4.0,0,1,13.4167,Southampton,1
693,0.0,3,male,25.0,0,0,7.225,Cherbourg,0
694,0.0,1,male,60.0,0,0,26.55,Southampton,0
695,0.0,2,male,52.0,0,0,13.5,Southampton,0
696,0.0,3,male,44.0,0,0,8.05,Queenstown,0
698,0.0,1,male,49.0,1,1,110.8833,Cherbourg,0
699,0.0,3,male,42.0,0,0,7.65,Southampton,0
700,1.0,1,female,18.0,1,0,227.525,Cherbourg,1
701,1.0,1,male,35.0,0,0,26.2875,Southampton,0
702,0.0,3,female,18.0,0,1,14.4542,Cherbourg,1
703,0.0,3,male,25.0,0,0,7.7417,Queenstown,0
704,0.0,3,male,26.0,1,0,7.8542,Southampton,0
705,0.0,2,male,39.0,0,0,26.0,Southampton,0
706,1.0,2,female,45.0,0,0,13.5,Southampton,1
707,1.0,1,male,42.0,0,0,26.2875,Southampton,0
708,1.0,1,female,22.0,0,0,151.55,Southampton,1
710,1.0,1,female,24.0,0,0,49.5042,Cherbourg,1
712,1.0,1,male,48.0,1,0,52.0,Southampton,0
713,0.0,3,male,29.0,0,0,9.4833,Southampton,0
714,0.0,2,male,52.0,0,0,13.0,Southampton,0
715,0.0,3,male,19.0,0,0,7.65,Southampton,0
716,1.0,1,female,38.0,0,0,227.525,Cherbourg,1
717,1.0,2,female,27.0,0,0,10.5,Southampton,1
719,0.0,3,male,33.0,0,0,7.775,Southampton,0
720,1.0,2,female,6.0,0,1,33.0,Southampton,1
721,0.0,3,male,17.0,1,0,7.0542,Southampton,0
722,0.0,2,male,34.0,0,0,13.0,Southampton,0
723,0.0,2,male,50.0,0,0,13.0,Southampton,0
724,1.0,1,male,27.0,1,0,53.1,Southampton,0
725,0.0,3,male,20.0,0,0,8.6625,Southampton,0
726,1.0,2,female,30.0,3,0,21.0,Southampton,1
728,0.0,2,male,25.0,1,0,26.0,Southampton,0
729,0.0,3,female,25.0,1,0,7.925,Southampton,1
730,1.0,1,female,29.0,0,0,211.3375,Southampton,1
731,0.0,3,male,11.0,0,0,18.7875,Cherbourg,0
733,0.0,2,male,23.0,0,0,13.0,Southampton,0
734,0.0,2,male,23.0,0,0,13.0,Southampton,0
735,0.0,3,male,28.5,0,0,16.1,Southampton,0
736,0.0,3,female,48.0,1,3,34.375,Southampton,0
737,1.0,1,male,35.0,0,0,512.3292,Cherbourg,1
741,0.0,1,male,36.0,1,0,78.85,Southampton,0
742,1.0,1,female,21.0,2,2,262.375,Cherbourg,1
743,0.0,3,male,24.0,1,0,16.1,Southampton,0
744,1.0,3,male,31.0,0,0,7.925,Southampton,0
745,0.0,1,male,70.0,1,1,71.0,Southampton,0
746,0.0,3,male,16.0,1,1,20.25,Southampton,0
747,1.0,2,female,30.0,0,0,13.0,Southampton,1
748,0.0,1,male,19.0,1,0,53.1,Southampton,1
749,0.0,3,male,31.0,0,0,7.75,Queenstown,0
750,1.0,2,female,4.0,1,1,23.0,Southampton,1
751,1.0,3,male,6.0,0,1,12.475,Southampton,0
752,0.0,3,male,33.0,0,0,9.5,Southampton,0
753,0.0,3,male,23.0,0,0,7.8958,Southampton,0
754,1.0,2,female,48.0,1,2,65.0,Southampton,1
755,1.0,2,male,0.67,1,1,14.5,Southampton,0
756,0.0,3,male,28.0,0,0,7.7958,Southampton,0
757,0.0,2,male,18.0,0,0,11.5,Southampton,0
758,0.0,3,male,34.0,0,0,8.05,Southampton,0
759,1.0,1,female,33.0,0,0,86.5,Southampton,1
761,0.0,3,male,41.0,0,0,7.125,Southampton,0
762,1.0,3,male,20.0,0,0,7.2292,Cherbourg,0
763,1.0,1,female,36.0,1,2,120.0,Southampton,1
764,0.0,3,male,16.0,0,0,7.775,Southampton,0
765,1.0,1,female,51.0,1,0,77.9583,Cherbourg,1
767,0.0,3,female,30.5,0,0,7.75,Queenstown,1
769,0.0,3,male,32.0,0,0,8.3625,Southampton,0
770,0.0,3,male,24.0,0,0,9.5,Southampton,0
771,0.0,3,male,48.0,0,0,7.8542,Southampton,0
772,0.0,2,female,57.0,0,0,10.5,Southampton,1
774,1.0,2,female,54.0,1,3,23.0,Southampton,1
775,0.0,3,male,18.0,0,0,7.75,Southampton,0
777,1.0,3,female,5.0,0,0,12.475,Southampton,1
779,1.0,1,female,43.0,0,1,211.3375,Southampton,1
780,1.0,3,female,13.0,0,0,7.2292,Cherbourg,1
781,1.0,1,female,17.0,1,0,57.0,Southampton,1
782,0.0,1,male,29.0,0,0,30.0,Southampton,1
784,0.0,3,male,25.0,0,0,7.05,Southampton,0
785,0.0,3,male,25.0,0,0,7.25,Southampton,0
786,1.0,3,female,18.0,0,0,7.4958,Southampton,1
787,0.0,3,male,8.0,4,1,29.125,Queenstown,0
788,1.0,3,male,1.0,1,2,20.575,Southampton,0
789,0.0,1,male,46.0,0,0,79.2,Cherbourg,0
791,0.0,2,male,16.0,0,0,26.0,Southampton,0
794,0.0,3,male,25.0,0,0,7.8958,Southampton,0
795,0.0,2,male,39.0,0,0,13.0,Southampton,0
796,1.0,1,female,49.0,0,0,25.9292,Southampton,1
797,1.0,3,female,31.0,0,0,8.6833,Southampton,1
798,0.0,3,male,30.0,0,0,7.2292,Cherbourg,0
799,0.0,3,female,30.0,1,1,24.15,Southampton,0
800,0.0,2,male,34.0,0,0,13.0,Southampton,0
801,1.0,2,female,31.0,1,1,26.25,Southampton,1
802,1.0,1,male,11.0,1,2,120.0,Southampton,1
803,1.0,3,male,0.42,0,1,8.5167,Cherbourg,0
804,1.0,3,male,27.0,0,0,6.975,Southampton,0
805,0.0,3,male,31.0,0,0,7.775,Southampton,0
806,0.0,1,male,39.0,0,0,0.0,Belfast,1
807,0.0,3,female,18.0,0,0,7.775,Southampton,1
808,0.0,2,male,39.0,0,0,13.0,Southampton,0
809,1.0,1,female,33.0,1,0,53.1,Southampton,1
810,0.0,3,male,26.0,0,0,7.8875,Southampton,0
811,0.0,3,male,39.0,0,0,24.15,Southampton,0
812,0.0,2,male,35.0,0,0,10.5,Southampton,0
813,0.0,3,female,6.0,4,2,31.275,Southampton,0
814,0.0,3,male,30.5,0,0,8.05,Southampton,0
816,0.0,3,female,23.0,0,0,7.925,Southampton,1
817,0.0,2,male,31.0,1,1,37.0042,Cherbourg,0
818,0.0,3,male,43.0,0,0,6.45,Southampton,0
819,0.0,3,male,10.0,3,2,27.9,Southampton,0
820,1.0,1,female,52.0,1,1,93.5,Southampton,1
821,1.0,3,male,27.0,0,0,8.6625,Southampton,0
822,0.0,1,male,38.0,0,0,0.0,Southampton,0
823,1.0,3,female,27.0,0,1,12.475,Southampton,1
824,0.0,3,male,2.0,4,1,39.6875,Southampton,0
827,1.0,2,male,1.0,0,2,37.0042,Cherbourg,1
829,1.0,1,female,62.0,0,0,80.0,Southampton,1
830,1.0,3,female,15.0,1,0,14.4542,Cherbourg,1
831,1.0,2,male,0.83,1,1,18.75,Southampton,0
833,0.0,3,male,23.0,0,0,7.8542,Southampton,0
834,0.0,3,male,18.0,0,0,8.3,Southampton,0
835,1.0,1,female,39.0,1,1,83.1583,Cherbourg,1
836,0.0,3,male,21.0,0,0,8.6625,Southampton,0
838,1.0,3,male,32.0,0,0,56.4958,Southampton,0
840,0.0,3,male,20.0,0,0,7.925,Southampton,0
841,0.0,2,male,16.0,0,0,10.5,Southampton,0
842,1.0,1,female,30.0,0,0,31.0,Southampton,1
843,0.0,3,male,34.5,0,0,6.4375,Cherbourg,0
844,0.0,3,male,17.0,0,0,8.6625,Southampton,0
845,0.0,3,male,42.0,0,0,7.55,Southampton,0
847,0.0,3,male,35.0,0,0,7.8958,Southampton,0
848,0.0,2,male,28.0,0,1,33.0,Southampton,0
850,0.0,3,male,4.0,4,2,31.275,Southampton,0
851,0.0,3,male,74.0,0,0,7.775,Southampton,0
852,0.0,3,female,9.0,1,1,15.2458,Cherbourg,1
853,1.0,1,female,16.0,0,1,39.4,Cherbourg,1
854,0.0,2,female,44.0,1,0,26.0,Southampton,1
855,1.0,3,female,18.0,0,1,9.35,Southampton,1
856,1.0,1,female,45.0,1,1,164.8667,Southampton,1
857,1.0,1,male,51.0,0,0,26.55,Southampton,0
858,1.0,3,female,24.0,0,3,19.2583,Cherbourg,1
860,0.0,3,male,41.0,2,0,14.1083,Southampton,0
861,0.0,2,male,21.0,1,0,11.5,Southampton,0
862,1.0,1,female,48.0,0,0,25.9292,Southampton,1
864,0.0,2,male,24.0,0,0,13.0,Southampton,0
865,1.0,2,female,42.0,0,0,13.0,Southampton,1
866,1.0,2,female,27.0,1,0,13.8583,Cherbourg,1
867,0.0,1,male,31.0,0,0,50.4958,Southampton,1
869,1.0,3,male,4.0,1,1,11.1333,Southampton,0
870,0.0,3,male,26.0,0,0,7.8958,Southampton,0
871,1.0,1,female,47.0,1,1,52.5542,Southampton,1
872,0.0,1,male,33.0,0,0,5.0,Southampton,1
873,0.0,3,male,47.0,0,0,9.0,Southampton,0
874,1.0,2,female,28.0,1,0,24.0,Cherbourg,1
875,1.0,3,female,15.0,0,0,7.225,Cherbourg,1
876,0.0,3,male,20.0,0,0,9.8458,Southampton,0
877,0.0,3,male,19.0,0,0,7.8958,Southampton,0
879,1.0,1,female,56.0,0,1,83.1583,Cherbourg,1
880,1.0,2,female,25.0,0,1,26.0,Southampton,1
881,0.0,3,male,33.0,0,0,7.8958,Cherbourg,0
882,0.0,3,female,22.0,0,0,10.5167,Southampton,1
883,0.0,2,male,28.0,0,0,10.5,Southampton,0
884,0.0,3,male,25.0,0,0,7.05,Southampton,0
885,0.0,3,female,39.0,0,5,29.125,Queenstown,0
886,0.0,2,male,27.0,0,0,13.0,Southampton,0
887,1.0,1,female,19.0,0,0,30.0,Southampton,1
889,1.0,1,male,26.0,0,0,30.0,Cherbourg,1
890,0.0,3,male,32.0,0,0,7.75,Queenstown,0
891,,3,male,34.5,0,0,7.8292,Southampton,0
892,,3,female,47.0,1,0,7.0,Southampton,0
893,,2,male,62.0,0,0,9.6875,Queenstown,0
894,,3,male,27.0,0,0,8.6625,Southampton,0
895,,3,female,22.0,1,1,12.2875,Southampton,1
896,,3,male,14.0,0,0,9.225,Southampton,0
897,,3,female,30.0,0,0,7.6292,Queenstown,1
898,,2,male,26.0,1,1,29.0,Southampton,0
899,,3,female,18.0,0,0,7.2292,Cherbourg,1
900,,3,male,21.0,2,0,24.15,Southampton,0
902,,1,male,46.0,0,0,26.0,Southampton,0
903,,1,female,23.0,1,0,82.2667,Southampton,1
904,,2,male,63.0,1,0,26.0,Southampton,0
905,,1,female,47.0,1,0,61.175,Southampton,1
906,,2,female,24.0,1,0,27.7208,Cherbourg,1
907,,2,male,35.0,0,0,12.35,Queenstown,0
908,,3,male,21.0,0,0,7.225,Cherbourg,0
909,,3,female,27.0,1,0,7.925,Southampton,1
910,,3,female,45.0,0,0,7.225,Cherbourg,0
911,,1,male,55.0,1,0,59.4,Cherbourg,0
912,,3,male,9.0,0,1,3.1708,Southampton,0
914,,1,male,21.0,0,1,61.3792,Cherbourg,1
915,,1,female,48.0,1,3,262.375,Cherbourg,1
916,,3,male,50.0,1,0,14.5,Southampton,0
917,,1,female,22.0,0,1,61.9792,Southampton,1
918,,3,male,22.5,0,0,7.225,Cherbourg,0
919,,1,male,41.0,0,0,30.5,Southampton,0
921,,2,male,50.0,1,0,26.0,Southampton,0
922,,2,male,24.0,2,0,31.5,Southampton,0
923,,3,female,33.0,1,2,20.575,Southampton,0
925,,1,male,30.0,1,0,57.75,Cherbourg,1
926,,3,male,18.5,0,0,7.2292,Cherbourg,0
928,,3,female,21.0,0,0,8.6625,Southampton,1
929,,3,male,25.0,0,0,9.5,Southampton,0
931,,3,male,39.0,0,1,13.4167,Southampton,0
933,,3,male,41.0,0,0,7.85,Southampton,0
934,,2,female,30.0,0,0,13.0,Southampton,1
935,,1,female,45.0,1,0,52.5542,Southampton,1
936,,3,male,25.0,0,0,7.925,Southampton,0
937,,1,male,45.0,0,0,29.7,Cherbourg,0
939,,1,female,60.0,0,0,76.2917,Cherbourg,1
940,,3,female,36.0,0,2,15.9,Southampton,0
941,,1,male,24.0,1,0,60.0,Cherbourg,1
942,,2,male,27.0,0,0,15.0333,Southampton,0
943,,2,female,20.0,2,1,23.0,Southampton,1
944,,1,female,28.0,3,2,263.0,Southampton,1
946,,3,male,10.0,4,1,29.125,Queenstown,0
947,,3,male,35.0,0,0,7.8958,Southampton,0
948,,3,male,25.0,0,0,7.65,Southampton,0
950,,1,female,36.0,0,0,262.375,Cherbourg,1
951,,3,male,17.0,0,0,7.8958,Southampton,0
952,,2,male,32.0,0,0,13.5,Southampton,0
953,,3,male,18.0,0,0,7.75,Southampton,0
954,,3,female,22.0,0,0,7.725,Queenstown,1
955,,1,male,13.0,2,2,262.375,Cherbourg,1
957,,3,female,18.0,0,0,7.8792,Queenstown,1
958,,1,male,47.0,0,0,42.4,Southampton,0
959,,1,male,31.0,0,0,28.5375,Cherbourg,1
960,,1,female,60.0,1,4,263.0,Southampton,1
961,,3,female,24.0,0,0,7.75,Queenstown,1
962,,3,male,21.0,0,0,7.8958,Southampton,0
963,,3,female,29.0,0,0,7.925,Southampton,1
964,,1,male,28.5,0,0,27.7208,Cherbourg,1
965,,1,female,35.0,0,0,211.5,Southampton,1
966,,1,male,32.5,0,0,211.5,Southampton,1
968,,1,female,55.0,2,0,25.7,Southampton,1
969,,2,male,30.0,0,0,13.0,Southampton,0
970,,3,female,24.0,0,0,7.75,Queenstown,1
971,,3,male,6.0,1,1,15.2458,Cherbourg,0
972,,1,male,67.0,1,0,221.7792,Southampton,0
973,,1,male,49.0,0,0,26.0,Southampton,0
977,,3,female,27.0,0,0,7.8792,Queenstown,1
978,,3,female,18.0,0,0,8.05,Southampton,1
980,,2,male,2.0,1,1,23.0,Southampton,0
981,,3,female,22.0,1,0,13.9,Southampton,1
983,,1,female,27.0,1,2,52.0,Southampton,1
985,,1,male,25.0,0,0,26.0,Cherbourg,1
986,,3,male,25.0,0,0,7.7958,Southampton,0
987,,1,female,76.0,1,0,78.85,Southampton,1
988,,3,male,29.0,0,0,7.925,Southampton,0
989,,3,female,20.0,0,0,7.8542,Southampton,1
990,,3,male,33.0,0,0,8.05,Southampton,0
991,,1,female,43.0,1,0,55.4417,Cherbourg,1
992,,2,male,27.0,1,0,26.0,Southampton,0
994,,3,male,26.0,0,0,7.775,Southampton,0
995,,3,female,16.0,1,1,8.5167,Cherbourg,1
996,,3,male,28.0,0,0,22.525,Southampton,0
997,,3,male,21.0,0,0,7.8208,Queenstown,0
1000,,2,male,18.5,0,0,13.0,Southampton,0
1001,,2,male,41.0,0,0,15.0458,Southampton,0
1003,,1,female,36.0,0,0,31.6792,Cherbourg,1
1004,,3,female,18.5,0,0,7.2833,Queenstown,1
1005,,1,female,63.0,1,0,221.7792,Southampton,1
1006,,3,male,18.0,1,0,14.4542,Cherbourg,0
1008,,3,female,1.0,1,1,16.7,Southampton,1
1009,,1,male,36.0,0,0,75.2417,Southampton,0
1010,,2,female,29.0,1,0,26.0,Southampton,1
1011,,2,female,12.0,0,0,15.75,Southampton,1
1013,,1,female,35.0,1,0,57.75,Southampton,1
1014,,3,male,28.0,0,0,7.25,Southampton,0
1016,,3,female,17.0,0,1,16.1,Southampton,1
1017,,3,male,22.0,0,0,7.7958,Southampton,0
1019,,2,male,42.0,0,0,13.0,Southampton,0
1020,,3,male,24.0,0,0,8.05,Southampton,0
1021,,3,male,32.0,0,0,8.05,Southampton,0
1022,,1,male,53.0,0,0,28.5,Southampton,0
1025,,3,male,43.0,0,0,7.8958,Southampton,0
1026,,3,male,24.0,0,0,7.8542,Southampton,0
1027,,3,male,26.5,0,0,7.225,Cherbourg,0
1028,,2,male,26.0,0,0,13.0,Southampton,0
1029,,3,female,23.0,0,0,8.05,Southampton,1
1030,,3,male,40.0,1,6,46.9,Southampton,0
1031,,3,female,10.0,5,2,46.9,Southampton,0
1032,,1,female,33.0,0,0,151.55,Southampton,1
1033,,1,male,61.0,1,3,262.375,Cherbourg,0
1034,,2,male,28.0,0,0,26.0,Southampton,0
1035,,1,male,42.0,0,0,26.55,Southampton,0
1036,,3,male,31.0,3,0,18.0,Southampton,0
1038,,3,male,22.0,0,0,8.05,Southampton,0
1040,,2,male,30.0,1,1,26.0,Southampton,0
1044,,3,female,36.0,0,2,12.1833,Southampton,0
1045,,3,male,13.0,4,2,31.3875,Southampton,0
1046,,3,male,24.0,0,0,7.55,Southampton,0
1047,,1,female,29.0,0,0,221.7792,Southampton,1
1049,,1,male,42.0,0,0,26.55,Southampton,0
1050,,3,female,26.0,0,2,13.775,Southampton,1
1052,,3,male,7.0,1,1,15.2458,Cherbourg,0
1053,,2,female,26.0,0,0,13.5,Southampton,1
1055,,2,male,41.0,0,0,13.0,Southampton,0
1056,,3,female,26.0,1,1,22.025,Southampton,1
1057,,1,male,48.0,0,0,50.4958,Cherbourg,0
1058,,3,male,18.0,2,2,34.375,Southampton,0
1060,,3,female,22.0,0,0,8.9625,Southampton,1
1062,,3,male,27.0,0,0,7.225,Cherbourg,0
1063,,3,male,23.0,1,0,13.9,Southampton,0
1065,,3,male,40.0,1,5,31.3875,Southampton,0
1066,,2,female,15.0,0,2,39.0,Southampton,1
1067,,2,female,20.0,0,0,36.75,Southampton,1
1068,,1,male,54.0,1,0,55.4417,Cherbourg,0
1069,,2,female,36.0,0,3,39.0,Southampton,1
1070,,1,female,64.0,0,2,83.1583,Cherbourg,1
1071,,2,male,30.0,0,0,13.0,Southampton,0
1072,,1,male,37.0,1,1,83.1583,Cherbourg,0
1073,,1,female,18.0,1,0,53.1,Southampton,1
1075,,1,female,27.0,1,1,247.5208,Cherbourg,1
1076,,2,male,40.0,0,0,16.0,Southampton,0
1077,,2,female,21.0,0,1,21.0,Southampton,1
1078,,3,male,17.0,2,0,8.05,Southampton,0
1080,,2,male,40.0,0,0,13.0,Southampton,0
1081,,2,male,34.0,1,0,26.0,Southampton,0
1083,,3,male,11.5,1,1,14.5,Southampton,0
1084,,2,male,61.0,0,0,12.35,Southampton,0
1085,,2,male,8.0,0,2,32.5,Southampton,0
1086,,3,male,33.0,0,0,7.8542,Southampton,0
1087,,1,male,6.0,0,2,134.5,Cherbourg,1
1088,,3,female,18.0,0,0,7.775,Southampton,1
1089,,2,male,23.0,0,0,10.5,Southampton,0
1092,,3,male,0.33,0,2,14.4,Southampton,0
1093,,1,male,47.0,1,0,227.525,Cherbourg,0
1094,,2,female,8.0,1,1,26.0,Southampton,1
1095,,2,male,25.0,0,0,10.5,Southampton,0
1097,,3,female,35.0,0,0,7.75,Queenstown,1
1098,,2,male,24.0,0,0,10.5,Southampton,0
1099,,1,female,33.0,0,0,27.7208,Cherbourg,1
1100,,3,male,25.0,0,0,7.8958,Southampton,0
1101,,3,male,32.0,0,0,22.525,Southampton,0
1103,,2,male,17.0,0,0,73.5,Southampton,0
1104,,2,female,60.0,1,0,26.0,Southampton,0
1105,,3,female,38.0,4,2,7.775,Southampton,0
1106,,1,male,42.0,0,0,42.5,Southampton,0
1108,,1,male,57.0,1,1,164.8667,Southampton,0
1109,,1,female,50.0,1,1,211.5,Southampton,1
1111,,2,female,30.0,1,0,13.8583,Cherbourg,1
1112,,3,male,21.0,0,0,8.05,Southampton,0
1113,,2,female,22.0,0,0,10.5,Southampton,1
1114,,3,male,21.0,0,0,7.7958,Southampton,0
1115,,1,female,53.0,0,0,27.4458,Cherbourg,1
1117,,3,male,23.0,0,0,7.7958,Southampton,0
1119,,3,male,40.5,0,0,15.1,Southampton,0
1120,,2,male,36.0,0,0,13.0,Southampton,0
1121,,2,male,14.0,0,0,65.0,Southampton,0
1122,,1,female,21.0,0,0,26.55,Southampton,1
1123,,3,male,21.0,1,0,6.4958,Southampton,0
1125,,1,male,39.0,1,0,71.2833,Cherbourg,0
1126,,3,male,20.0,0,0,7.8542,Southampton,0
1127,,1,male,64.0,1,0,75.25,Cherbourg,0
1128,,3,male,20.0,0,0,7.225,Cherbourg,0
1129,,2,female,18.0,1,1,13.0,Southampton,1
1130,,1,female,48.0,1,0,106.425,Cherbourg,1
1131,,1,female,55.0,0,0,27.7208,Cherbourg,1
1132,,2,female,45.0,0,2,30.0,Southampton,1
1133,,1,male,45.0,1,1,134.5,Cherbourg,0
1136,,1,male,41.0,1,0,51.8625,Southampton,0
1137,,2,female,22.0,0,0,21.0,Southampton,1
1138,,2,male,42.0,1,1,32.5,Southampton,0
1139,,2,female,29.0,1,0,26.0,Southampton,1
1141,,2,female,0.92,1,2,27.75,Southampton,1
1142,,3,male,20.0,0,0,7.925,Southampton,0
1143,,1,male,27.0,1,0,136.7792,Cherbourg,1
1144,,3,male,24.0,0,0,9.325,Southampton,0
1145,,3,male,32.5,0,0,9.5,Southampton,0
1148,,3,male,28.0,0,0,8.05,Southampton,0
1149,,2,female,19.0,0,0,13.0,Southampton,1
1150,,3,male,21.0,0,0,7.775,Southampton,0
1151,,3,male,36.5,1,0,17.4,Southampton,0
1152,,3,male,21.0,0,0,7.8542,Southampton,0
1153,,2,female,29.0,0,2,23.0,Southampton,1
1154,,3,female,1.0,1,1,12.1833,Southampton,1
1155,,2,male,30.0,0,0,12.7375,Southampton,0
1160,,3,male,17.0,0,0,8.6625,Southampton,0
1161,,1,male,46.0,0,0,75.2417,Southampton,0
1163,,1,female,26.0,1,0,136.7792,Cherbourg,1
1166,,2,female,20.0,1,0,26.0,Southampton,1
1167,,2,male,28.0,0,0,10.5,Southampton,0
1168,,2,male,40.0,1,0,26.0,Southampton,0
1169,,2,male,30.0,1,0,21.0,Southampton,0
1170,,2,male,22.0,0,0,10.5,Southampton,0
1171,,3,female,23.0,0,0,8.6625,Southampton,1
1172,,3,male,0.75,1,1,13.775,Southampton,0
1174,,3,female,9.0,1,1,15.2458,Cherbourg,1
1175,,3,female,2.0,1,1,20.2125,Southampton,1
1176,,3,male,36.0,0,0,7.25,Southampton,0
1178,,1,male,24.0,1,0,82.2667,Southampton,1
1182,,3,female,30.0,0,0,6.95,Queenstown,1
1184,,1,male,53.0,1,1,81.8583,Southampton,0
1185,,3,male,36.0,0,0,9.5,Southampton,0
1186,,3,male,26.0,0,0,7.8958,Southampton,0
1187,,2,female,1.0,1,2,41.5792,Cherbourg,1
1189,,1,male,30.0,0,0,45.5,Southampton,1
1190,,3,male,29.0,0,0,7.8542,Southampton,0
1191,,3,male,32.0,0,0,7.775,Southampton,0
1193,,2,male,43.0,0,1,21.0,Southampton,0
1194,,3,male,24.0,0,0,8.6625,Southampton,0
1196,,1,female,64.0,1,1,26.55,Southampton,1
1197,,1,male,30.0,1,2,151.55,Southampton,0
1198,,3,male,0.83,0,1,9.35,Southampton,0
1199,,1,male,55.0,1,1,93.5,Southampton,0
1200,,3,female,45.0,1,0,14.1083,Southampton,0
1201,,3,male,18.0,0,0,8.6625,Southampton,0
1202,,3,male,22.0,0,0,7.225,Cherbourg,0
1204,,3,female,37.0,0,0,7.75,Queenstown,1
1205,,1,female,55.0,0,0,135.6333,Cherbourg,1
